entry_id,self_accession,parent_accession
806,JGAZ000002128,JGAS000138
806,JGAZ000002129,JGAS000138
806,JGAZ000002130,JGAS000138
806,JGAZ000002131,JGAS000138
806,JGAZ000002132,JGAS000138
806,JGAZ000002133,JGAS000138
806,JGAZ000002134,JGAS000138
806,JGAZ000002135,JGAS000138
806,JGAZ000002136,JGAS000138
806,JGAZ000002137,JGAS000138
806,JGAZ000002138,JGAS000138
806,JGAZ000002139,JGAS000138
806,JGAZ000002140,JGAS000138
806,JGAZ000002141,JGAS000138
806,JGAZ000002142,JGAS000138
806,JGAZ000002143,JGAS000138
806,JGAZ000002144,JGAS000138
806,JGAZ000002145,JGAS000138
806,JGAZ000002146,JGAS000138
